"","Protein.Group","Protein.Ids","Protein.Names","Genes","First.Protein.Description","peptide.length","start","intensity_0nM_R1","intensity_0nM_R2","intensity_0nM_R3","intensity_0nM_R4","intensity_02nM_R1","intensity_02nM_R2","intensity_02nM_R3","intensity_02nM_R4","intensity_2nM_R1","intensity_2nM_R2","intensity_2nM_R3","intensity_2nM_R4","intensity_2uM_R1","intensity_2uM_R2","intensity_2uM_R3","intensity_2uM_R4","intensity_20nM_R1","intensity_20nM_R2","intensity_20nM_R3","intensity_20nM_R4","intensity_20uM_R1","intensity_20uM_R2","intensity_20uM_R3","intensity_20uM_R4","intensity_100uM_R1","intensity_100uM_R2","intensity_100uM_R3","intensity_100uM_R4","intensity_200nM_R1","intensity_200nM_R2","intensity_200nM_R3","intensity_200nM_R4","quantified.in.rep1.?","quantified.in.rep2.?","quantified.in.rep3.?","quantified.in.rep4.?","Nr.of.replicates.(quantified)","stabilized.in.rep1.?","stabilized.in.rep2.?","stabilized.in.rep3.?","stabilized.in.rep4.?","Nr.of.replicates.(stabilized)","destabilized.in.rep1.?","destabilized.in.rep2.?","destabilized.in.rep3.?","destabilized.in.rep4.?","Nr.of.replicates.(destabilized)","regulation","pEC50_rep1","R2_rep1","lower_rep1","upper_rep1","Ratio_0nM_0nM_R1","Ratio_02nM_0nM_R1","Ratio_2nM_0nM_R1","Ratio_20nM_0nM_R1","Ratio_200nM_0nM_R1","Ratio_2uM_0nM_R1","Ratio_20uM_0nM_R1","Ratio_100uM_0nM_R1","pEC50_rep2","R2_rep2","lower_rep2","upper_rep2","Ratio_0nM_0nM_R2","Ratio_02nM_0nM_R2","Ratio_2nM_0nM_R2","Ratio_20nM_0nM_R2","Ratio_200nM_0nM_R2","Ratio_2uM_0nM_R2","Ratio_20uM_0nM_R2","Ratio_100uM_0nM_R2","pEC50_rep3","R2_rep3","lower_rep3","upper_rep3","Ratio_0nM_0nM_R3","Ratio_02nM_0nM_R3","Ratio_2nM_0nM_R3","Ratio_20nM_0nM_R3","Ratio_200nM_0nM_R3","Ratio_2uM_0nM_R3","Ratio_20uM_0nM_R3","Ratio_100uM_0nM_R3","pEC50_rep4","R2_rep4","lower_rep4","upper_rep4","Ratio_0nM_0nM_R4","Ratio_02nM_0nM_R4","Ratio_2nM_0nM_R4","Ratio_20nM_0nM_R4","Ratio_200nM_0nM_R4","Ratio_2uM_0nM_R4","Ratio_20uM_0nM_R4","Ratio_100uM_0nM_R4","CV_pEC50","mean_pEC50","is.kinase","end","Protein.kinase","domain","location","D_start","D_end","D_start2","D_end2","in.domain"
"285","Q15418","Q15349;Q15418","KS6A1_HUMAN","RPS6KA1","Ribosomal protein S6 kinase alpha-1",14,452,199339,225699,217313,230005,173945,190193,228451,229573,161525,213573,190033,206726,146569,151317,178147,188702,208305,216999,214703,222329,81226.5,89629.1,101057,85092.6,28746.8,31518.4,60909.3,61976,139000,195374,221654,225886,1,1,1,1,4,1,1,1,1,"4",0,0,0,0,"0","stabilized",4.2438,0.9027,-0.441171681850072,0.924286518587457,1,0.872608972654624,0.81030305158549,1.04497865445297,0.697304591675488,0.735275084153126,0.407479218818194,0.144210616086165,4.7056,0.9762,-0.181840011142133,0.94478489261401,1,0.842684283049548,0.946273576754882,0.961453085746946,0.865639635089212,0.670437175175787,0.397117842790619,0.139647938183155,5.0582,0.965,0.215668796212478,0.988700518274093,1,1.05125326142477,0.874466782935213,0.987989673880532,1.01997579528146,0.819771481687704,0.465029703699272,0.280283738202501,5.2528,0.9883,0.255264439961008,0.97050496945381,1,0.998121779961305,0.898789156757462,0.966626812460599,0.982091693658834,0.820425642920806,0.369959783482968,0.269455011847569,0.0920261363249982,4.8151,"yes",465,"Protein kinase","domain","62-321;418-675;",62,321,418,675,"yes"
"286","P49841","P49841","GSK3B_HUMAN","GSK3B","Glycogen synthase kinase-3 beta",13,168,1190000,1190000,1210000,1120000,1240000,1260000,1170000,1220000,1170000,1280000,1270000,1210000,65918,50526.3,32918.5,53958.7,1130000,1250000,1200000,1220000,41288.5,21556.7,0,27112,26214.3,33465.4,35488.2,24560.5,403510,433138,401584,438758,1,1,0,1,3,1,1,0,1,"3",0,0,0,0,"0","stabilized",6.9253,0.9988,0.032084592013452,1.01028008480892,1,1.04201680672269,0.983193277310924,0.949579831932773,0.339084033613445,0.0553932773109244,0.034696218487395,0.0220288235294118,6.7871,0.9981,0.0295699205117142,1.04637977837843,1,1.05882352941176,1.07563025210084,1.05042016806723,0.363981512605042,0.0424590756302521,0.0181148739495798,0.0281221848739496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.76,0.9968,0.0316106483201692,1.06475353454235,1,1.08928571428571,1.08035714285714,1.08928571428571,0.391748214285714,0.0481774107142857,0.0242071428571429,0.0219290178571429,0.0129913224699705,6.82413333333333,"yes",180,"Protein kinase","domain","56-340;",56,340,NA,NA,"yes"
"287","P43250","P43250","GRK6_HUMAN","GRK6","G protein-coupled receptor kinase 6",14,418,495949,642397,630066,588847,592242,594029,631450,627512,525456,596528,638512,618964,174612,87079.1,174465,184895,570971,475421,604932,627865,192880,141984,169738,165972,162763,126760,181677,141353,299511,313862,361792,283702,1,1,1,1,4,1,1,1,1,"4",0,0,0,0,"0","stabilized",6.773,0.9751,0.35641524842857,1.10123744276272,1,1.19415907684056,1.05949603689089,1.15126958618729,0.603914918671073,0.352076523997427,0.388910956570131,0.32818495450137,7.0773,0.9814,0.171123813912271,0.96319037479681,1,0.924706995829682,0.928597113622884,0.740073505947257,0.488579492120916,0.135553403891986,0.221022202781146,0.197323461971335,6.8094,0.9993,0.27264830081158,1.00348749132645,1,1.00219659527732,1.01340494487879,0.960108940968089,0.574212860240038,0.276899562902934,0.269397174264283,0.288345982801802,6.7867,0.9946,0.278634409136373,1.04577074821928,1,1.06566221785965,1.05114571357246,1.06626169446393,0.481792384099775,0.313994976623809,0.281859294519629,0.240050471514672,0.0210710839527482,6.8616,"yes",431,"Protein kinase","domain","186-448;",186,448,NA,NA,"yes"
"288","Q9NWZ3","Q9NWZ3","IRAK4_HUMAN","IRAK4","Interleukin-1 receptor-associated kinase 4",8,157,561520,613077,543363,562000,572582,555156,564889,582515,576781,602652,573432,589410,139800,125506,136204,125051,586576,570689,608451,578288,115739,112252,117877,110576,116890,121771,125432,116720,302809,266059,281967,288818,1,1,1,1,4,1,1,1,1,"4",0,0,0,0,"0","stabilized",6.7386,0.998,0.221078297555404,1.02288212005654,1,1.01970009972931,1.02717801681151,1.04462174098874,0.539266633423565,0.248967089328964,0.206117324405186,0.208167117823052,6.8997,0.9949,0.193031774598819,0.963092300756125,1,0.90552410219271,0.982995610665544,0.930860234521928,0.433973220329583,0.204714905305533,0.183096087440892,0.198622685241821,6.7518,0.9933,0.23281629583303,1.05368773439467,1,1.03961624181256,1.0553386962307,1.11978732449578,0.518929334533268,0.250668521780099,0.216939688569152,0.230843837361028,6.7924,0.9986,0.208326327386545,1.02983025360422,1,1.03650355871886,1.04877224199288,1.02898220640569,0.51391103202847,0.222510676156584,0.196754448398577,0.207686832740214,0.0107514363869381,6.795625,"yes",164,"Protein kinase","domain","186-454;",186,454,NA,NA,"no"
"289","P31751","P31751","AKT2_HUMAN","AKT2","RAC-beta serine/threonine-protein kinase",9,379,49214.4,46349.1,50696.1,66403.4,50233.1,45724.9,60050,76965.7,59501,51385.5,66730.7,61051,43322.5,28256,43963.5,29819.7,63212.3,50530.9,43629.3,66451.1,18160.7,8875.73,21245.3,17861.9,16367.3,11580,21790.9,11873.6,55581,49441.5,55093.5,60511.5,1,1,1,1,4,1,1,0,1,"3",0,0,0,0,"0","stabilized",5.5331,0.936,0.341883642889094,1.13002629595882,1,1.02069922624273,1.20901606034006,1.28442691569947,1.12936457622159,0.880280974674079,0.369011915211808,0.332571361227608,5.7104,0.9869,0.220663371199214,1.05043358017208,1,0.986532640331743,1.10866230412241,1.09022397414405,1.06671974213092,0.609634275530701,0.191497353778175,0.249843039023411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.0141,0.9676,0.202459089967307,1.02530347469339,1,1.15906263835888,0.919395693594003,1.00071833671167,0.911271109611857,0.449068872979396,0.268990744449832,0.178810121168494,0.0422861109454435,5.75253333333333,"yes",387,"Protein kinase","domain","152-409;",152,409,NA,NA,"yes"
"290","P53350","P53350","PLK1_HUMAN","PLK1","Serine/threonine-protein kinase PLK1",8,137,171044,196753,159265,192790,150440,175662,171567,273705,148032,176654,204959,232737,56559.4,77052.1,63396.6,100936,149212,158343,287214,235422,36944.9,37422.1,25404.9,56877.7,25839.2,32853.2,38893.4,51720.2,150408,142165,144756,208772,1,1,1,1,4,1,1,0,1,"3",0,0,0,0,"0","stabilized",5.9954,0.9835,0.182026414569963,0.905095426520146,1,0.879539767545193,0.865461518673558,0.872360328336568,0.87935268118145,0.330671640045836,0.215996468744884,0.151067561563107,6.0987,0.9864,0.0975035505538666,0.936919424477774,1,0.892804684045478,0.897846538553415,0.804780613256215,0.722555691654003,0.391618425132018,0.190198370545811,0.166976869475942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.0511,0.9374,0.270249194601038,1.21384846132267,1,1.41970537890969,1.20720473053582,1.22113180144198,1.08289849058561,0.523554126251362,0.295024119508273,0.268272213289071,0.00854819477424759,6.0484,"yes",144,"Protein kinase","domain","53-305;",53,305,NA,NA,"yes"
"291","Q16512","Q16512","PKN1_HUMAN","PKN1","Serine/threonine-protein kinase N1",9,608,364528,365874,466288,371747,307145,398631,341493,333189,389056,440528,428340,367067,42833.2,34942.9,29900.1,30914.2,328615,298391,325175,307040,41940.4,26756.2,39501.9,27821.7,37364.6,36803.4,17179,0,64854.1,68293.9,67304.6,55772.9,1,1,1,0,3,1,1,1,0,"3",0,0,0,0,"0","stabilized",7.2009,0.9807,0.111717596011474,0.969652469528126,1,0.842582737128561,1.06728701224597,0.901480819031734,0.177912533467937,0.117503182197252,0.11505398762235,0.102501316771277,7.415,0.9862,0.0937713536557614,1.09853743797851,1,1.08953082208629,1.20404292188021,0.815556721712939,0.186659615058736,0.0955052832395852,0.0731295473305018,0.100590367175585,7.3419,0.9675,0.0617396235134338,0.885290339999526,1,0.732364976152078,0.918616820505782,0.697369436914525,0.144341265483993,0.0641236746388498,0.0847156692859349,0.0368420375390317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0148689347883543,7.31926666666667,"yes",616,"Protein kinase","domain","615-874;",615,874,NA,NA,"yes"
"292","P49840","P49840","GSK3A_HUMAN","GSK3A","Glycogen synthase kinase-3 alpha",10,114,2890000,3100000,3120000,3150000,2780000,3020000,3150000,3120000,3210000,3130000,3140000,3190000,170256,193480,165724,180493,3190000,3030000,3120000,3090000,78754.8,94116.3,83906.4,87246.3,73716.5,83101.2,65192.4,66865.2,1280000,1320000,1350000,1230000,1,1,1,1,4,1,1,1,1,"4",0,0,0,0,"0","stabilized",6.7332,0.9902,0.0372105262963408,1.04412085282195,1,0.961937716262976,1.11072664359862,1.1038062283737,0.442906574394464,0.0589121107266436,0.0272507958477509,0.0255074394463668,6.7932,0.9993,0.0353332469458765,0.996765101796322,1,0.974193548387097,1.00967741935484,0.97741935483871,0.425806451612903,0.0624129032258064,0.0303600967741935,0.0268068387096774,6.7776,0.9997,0.0309358766076793,1.00771590096478,1,1.00961538461538,1.00641025641026,1,0.432692307692308,0.0531166666666667,0.0268930769230769,0.020895,6.8288,0.9996,0.0318805961770463,1.00281706897092,1,0.990476190476191,1.01269841269841,0.980952380952381,0.39047619047619,0.0572993650793651,0.0276972380952381,0.0212270476190476,0.00584182302208068,6.7832,"yes",123,"Protein kinase","domain","119-403;",119,403,NA,NA,"yes"
"293","P41240","P41240","CSK_HUMAN","CSK","Tyrosine-protein kinase CSK",10,284,511624,431152,466921,437693,468667,436669,469068,436274,478186,450845,392479,432186,281331,262062,245154,237918,455836,479599,413670,372368,173277,161964,132859,70137.6,141653,101030,127510,63164.9,439049,450281,458015,264953,1,1,1,1,4,1,1,1,1,"4",0,0,0,0,"0","stabilized",5.835,0.99,0.26473820916857,0.943578133189555,1,0.916037949744343,0.934643410004222,0.89095898550498,0.858147780401232,0.549878426344347,0.338680359013651,0.276869341547699,5.7793,0.9804,0.29101933389628,1.04892906750558,1,1.01279595131183,1.04567530708428,1.1123664044235,1.04436718373103,0.607818124466545,0.375654061676624,0.234325713437488,5.7483,0.968,0.278999083583205,0.942444214339667,1,1.00459820826221,0.840568318837662,0.88595286997158,0.980926109556006,0.52504385110115,0.284542781327034,0.27308688193506,5.8458,0.9752,-0.0537880357441648,1.02282989921266,1,0.996758001613003,0.987418121834254,0.850751554171531,0.60533981580697,0.54357277818014,0.160243823867414,0.144313251525613,0.00796453657167871,5.8021,"yes",293,"Protein kinase","domain","195-449;",195,449,NA,NA,"yes"
"294","O96013","O96013","PAK4_HUMAN","PAK4","Serine/threonine-protein kinase PAK 4",8,319,1110000,1320000,1340000,1330000,1120000,1310000,1340000,1410000,1310000,1280000,1180000,1250000,576741,460604,566978,562267,1320000,1170000,1280000,1320000,405386,313603,325688,332159,258663,282736,298101,316695,834686,695715,794391,791581,1,1,1,1,4,1,1,1,1,"4",0,0,0,0,"0","stabilized",6.3106,0.937,0.285905341234164,1.09549656284884,1,1.00900900900901,1.18018018018018,1.18918918918919,0.751969369369369,0.519586486486487,0.365212612612613,0.23302972972973,6.8687,0.9962,0.227601445068113,1.00200092864844,1,0.992424242424242,0.96969696969697,0.886363636363636,0.527056818181818,0.348942424242424,0.23757803030303,0.214193939393939,6.5264,0.9771,0.208120855499787,0.988707484918486,1,1,0.880597014925373,0.955223880597015,0.592829104477612,0.423117910447761,0.243050746268657,0.222463432835821,6.6431,0.9786,0.242430278839743,1.02293765572489,1,1.06015037593985,0.93984962406015,0.992481203007519,0.595173684210526,0.422757142857143,0.249743609022556,0.238116541353383,0.0353395006703106,6.5872,"yes",326,"Protein kinase","domain","321-572;",321,572,NA,NA,"yes"
"295","O75582","O75582","KS6A5_HUMAN","RPS6KA5","Ribosomal protein S6 kinase alpha-5",10,34,63720.8,75096,66178,62432.6,69846.9,74047.8,71852.5,70809.6,75632.1,71227.5,65555.9,70776.7,41931.2,48119.5,27098.2,46805.1,56187.1,67717.9,74232.7,61669.7,41704.9,36833.1,34751.2,43434.6,33577.3,37263.9,35086.8,39541.2,59741.1,58745,62379.7,58023.5,1,1,1,1,4,0,1,1,1,"3",0,0,0,0,"0","stabilized",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.2771,0.9954,0.438868181910059,0.994138336117434,1,0.986041866410994,0.948485937999361,0.901751091935656,0.782265366996911,0.640773143709385,0.490480185362736,0.496216842441675,6.575,0.9623,0.488256265781001,1.04951739339566,1,1.08574601831424,0.990599595031581,1.121712653752,0.94260479313367,0.409474447701653,0.525117108404606,0.530188280093082,6.3561,0.9362,0.637698933711329,1.08353441857866,1,1.13417669614913,1.13364972786653,0.987780422407524,0.929378241495629,0.749690065766923,0.695703847028636,0.633342196224408,0.0241034415205962,6.40273333333333,"yes",43,"Protein kinase","domain","49-318;426-687;",49,318,426,687,"near"
"296","Q9UHD2","Q9UHD2","TBK1_HUMAN","TBK1","Serine/threonine-protein kinase TBK1",8,31,685974,691235,686631,705184,653116,654780,628319,585018,625418,649947,573151,576075,172012,137796,131592,162425,642318,649081,562758,531430,128866,113005,98748.1,99358.6,123332,81404.4,97708.4,96517.3,272405,253759,245222,210540,1,1,1,1,4,1,1,1,1,"4",0,0,0,0,"0","stabilized",6.9416,0.9934,0.204460008080236,0.95679969101056,1,0.952100225372973,0.911722601731261,0.936359103989364,0.397106887433051,0.250755859551528,0.187858431952231,0.179791070798602,6.943,0.9955,0.158355446449226,0.964387728317566,1,0.947261061722858,0.940269228265351,0.939016398185856,0.367109593698236,0.19934754461218,0.163482751886117,0.117766606146969,7.0636,0.9868,0.148706484351771,0.92630642788878,1,0.915075200507988,0.834729279627631,0.819593056532548,0.357137967845903,0.191648789524504,0.143815382643662,0.142301177779623,7.201,0.9733,0.158201844315545,0.893798311016869,1,0.829596247220584,0.816914450696556,0.753604732949131,0.298560375731724,0.230329956436902,0.14089741117212,0.136868249988655,0.0175077983934012,7.0373,"yes",38,"Protein kinase","domain","9-310;",9,310,NA,NA,"yes"
"297","Q9Y6R4","Q9Y6R4","M3K4_HUMAN","MAP3K4","Mitogen-activated protein kinase kinase kinase 4",10,1383,528932,594611,627072,616396,566011,581059,625828,639424,553847,583572,586528,564574,503154,625472,613113,574160,521860,562873,595324,606680,303864,337557,342697,352177,241341,295479,269607,280855,559391,555501,597562,582228,1,1,1,1,4,1,1,1,1,"4",0,0,0,0,"0","stabilized",5.0911,0.9859,0.437567287927533,1.03258296189047,1,1.07010163877398,1.04710435367873,0.986629661279711,1.05758585224566,0.951264056627317,0.574485945263285,0.45627982424962,4.9107,0.9718,0.496644034158062,0.981964310592835,1,0.97720862883465,0.981434921318307,0.946623927239826,0.934225905676148,1.05190115890893,0.567693836810957,0.496928243843454,4.838,0.9898,0.429775917768679,0.968926370025044,1,0.99801617677077,0.935343947744438,0.949371045111247,0.952940013268014,0.977739398346601,0.546503431822821,0.429945843539498,5.0251,0.9729,0.439937035191556,0.977206153847878,1,1.03735910031863,0.91592742327984,0.984237405823529,0.944568102323831,0.931479114076016,0.571348613553625,0.455640529789291,0.0228360290590054,4.966225,"yes",1392,"Protein kinase","domain","1343-1601;",1343,1601,NA,NA,"yes"
"298","Q13177","Q13177","PAK2_HUMAN","PAK2","Serine/threonine-protein kinase PAK 2",9,238,3350000,3230000,3190000,3210000,3690000,3100000,3130000,3410000,3260000,3010000,3610000,3100000,790569,770633,784101,893313,3160000,3040000,2960000,3250000,575246,651559,605180,694772,692515,633500,653570,745907,1820000,1760000,1830000,2010000,1,1,1,1,4,1,1,1,1,"4",0,0,0,0,"0","stabilized",6.8277,0.9918,0.18559722477217,1.03002256880865,1,1.10149253731343,0.973134328358209,0.943283582089552,0.543283582089552,0.235990746268657,0.171715223880597,0.206720895522388,6.7604,0.9974,0.202868351737825,0.967400745649331,1,0.959752321981424,0.931888544891641,0.941176470588235,0.544891640866873,0.238586068111455,0.201721052631579,0.196130030959752,6.7885,0.9859,0.193786657615859,1.03376876492791,1,0.981191222570533,1.13166144200627,0.927899686520376,0.573667711598746,0.245799686520376,0.189711598746082,0.204880877742947,6.688,0.9941,0.231931470535037,1.01618181788046,1,1.06230529595016,0.965732087227414,1.01246105919003,0.626168224299065,0.278290654205608,0.216439875389408,0.232369781931464,0.0087137841912056,6.76615,"yes",246,"Protein kinase","domain","249-499;",249,499,NA,NA,"near"
"299","Q13177","Q13177","PAK2_HUMAN","PAK2","Serine/threonine-protein kinase PAK 2",10,238,929082,942116,873408,891704,848622,901746,774854,916158,955224,840883,733778,922013,193247,146724,222110,204734,802937,787772,873082,929674,146516,75455.6,128001,164285,146377,99702.9,139643,170581,444770,436130,478395,489846,1,1,1,1,4,1,1,1,1,"4",0,0,0,0,"0","stabilized",6.8909,0.9922,0.156750907164115,0.981748082462989,1,0.913398386794707,1.02813745180727,0.864226193167019,0.478719854652227,0.207997787062929,0.157699750936946,0.157550140891762,6.8413,0.996,0.0823689918589897,0.961306043510598,1,0.957149650361527,0.892547202255349,0.836173040262558,0.462926009111405,0.155738783759112,0.0800916235368044,0.105828687762441,6.7058,0.9729,0.186876501789208,0.931746480832149,1,0.887161555653257,0.840131988715469,0.999626749468748,0.547733705209936,0.254302685571921,0.1465535007694,0.15988289550817,6.7343,0.9981,0.201679693279452,1.02603386529433,1,1.02742389851341,1.03398997873734,1.04258139472291,0.549336999721881,0.229598611198335,0.184237145958749,0.191297784915174,0.0128802199183386,6.793075,"yes",247,"Protein kinase","domain","249-499;",249,499,NA,NA,"near"
"300","Q13177","Q13177","PAK2_HUMAN","PAK2","Serine/threonine-protein kinase PAK 2",11,238,133839,127658,116183,132750,129316,137436,124700,136280,127630,120310,97685.7,118145,29460,31099.9,29064,31629,106428,101086,121931,112779,12963.8,16971.1,22252.7,14793.5,27440.3,25729.4,31516.7,22846.2,71687.1,81260.3,73393.5,91722.3,1,1,1,1,4,1,1,1,1,"4",0,0,0,0,"0","stabilized",6.8438,0.9902,0.13375397788258,0.983177934746864,1,0.966205665015429,0.953608439991333,0.795194225898281,0.535621903929348,0.220115213054491,0.0968611540731775,0.205024693848579,6.724,0.9798,0.128024901124131,1.02078977834217,1,1.07659527800843,0.942439956759467,0.79185009948456,0.636546867411365,0.243618887966285,0.132941922950383,0.201549452443247,6.6898,0.9641,0.237633947149987,0.990898008031793,1,1.07330676605011,0.840791682087741,1.04947367515041,0.631706015510014,0.250157079779314,0.191531463294974,0.271267741407951,6.4411,0.9823,0.124459067762622,0.96116591852531,1,1.02659133709981,0.889981167608286,0.849559322033898,0.69094011299435,0.23825988700565,0.11143879472693,0.172099435028249,0.0253401534772132,6.674675,"yes",248,"Protein kinase","domain","249-499;",249,499,NA,NA,"near"
"301","P49674","P49674;P48730","KC1E_HUMAN","CSNK1E","Casein kinase I isoform epsilon",11,44,630096,586478,616704,652558,653849,641287,640654,587323,626734,607575,511862,615363,544496,591613,570384,572114,569127,618571,581546,548371,360837,347867,351057,329104.7,225407.7,207328.8,208830.6,183835,548302,623645,632426,583242,1,1,1,1,4,1,1,1,1,"4",0,0,0,0,"0","stabilized",4.2671,0.9675,-0.0987123068120173,0.989818991984985,1,1.03769743023285,0.994664305121759,0.903238554125086,0.870188034839136,0.864147685432061,0.5726698788756,0.357735487925649,4.8456,0.9907,0.313219082899995,1.0496180792632,1,1.09345448593127,1.03597236383973,1.05472157523385,1.0633732211609,1.00875565664867,0.593145863953976,0.353515050862948,4.8134,0.9339,0.293658372050994,0.966736708018568,1,1.03883548671648,0.829996238065587,0.94299047841428,1.02549359173931,0.92489103362391,0.569247159090909,0.338623715753425,4.8382,0.9678,0.237641216499419,0.916299739232974,1,0.900031874561342,0.943001235139252,0.840340628725722,0.893778024328872,0.876725134011076,0.504330189806883,0.281714422319549,0.0603241784650388,4.691075,"yes",54,"Protein kinase","domain","9-277;",9,277,NA,NA,"yes"
"302","Q9BVS4","Q9BVS4","RIOK2_HUMAN","RIOK2","Serine/threonine-protein kinase RIO2",8,67,54792.3,68202.5,66047.7,70437.6,44597.9,67541.8,58693.1,67288.1,59025.8,63015.7,67044.7,71707.4,44505.8,46444.8,46730.5,51508,61044.8,65304.6,67230.7,51601,13693.2,14729.2,21243.6,17325.9,16321.9,14433.3,10007.4,12210.9,56867.3,53471.5,68023.8,63500.6,1,1,1,1,4,1,1,1,1,"4",0,0,0,0,"0","stabilized",5.6056,0.9325,0.273857830894515,1.00863969284924,1,0.813944660107351,1.07726450614411,1.11411274941917,1.03787028469329,0.812263766989157,0.249911027644395,0.297886746860416,5.4721,0.9719,0.0922369202601617,0.967422157416379,1,0.99031267182288,0.923950001832777,0.957510355192258,0.784010850042154,0.680983834903413,0.215962757963418,0.211624207323778,5.3239,0.9772,0.1290894171681,0.994110723231072,1,0.888647144412296,1.0150951509288,1.01791129744109,1.02991928560722,0.70752653006842,0.321640269078257,0.151517766704972,5.3478,0.9331,0.156150409983438,0.92480696357243,1,0.955286665076607,1.01802730359921,0.732577487023976,0.901515667768351,0.731257169466308,0.24597516099356,0.173357695321817,0.0238392197934126,5.43735,"yes",74,"Protein kinase","domain","97-272;",97,272,NA,NA,"no"
"303","Q8TD19","Q8TD19","NEK9_HUMAN","NEK9","Serine/threonine-protein kinase Nek9",8,179,389848,415389,394309,387778,399659,403660,382583,387520,368538,347637,325980,368648,269238,377478,364839,374931,298023,367491,381208,372321,197614,290327,234681,276160,180839,175407,180638,176987,347015,342738,351472,320008,1,1,1,1,4,1,0,1,1,"3",0,0,0,0,"0","stabilized",5.0257,0.9169,0.165577541551635,1.01074111525824,1,1.0251662186288,0.945337670066282,0.764459481644128,0.890128973343457,0.69062301204572,0.506900125176992,0.463870534156902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.8871,0.9267,0.452279617178629,0.931946479666315,1,0.970261901199313,0.826712045629189,0.966774788300546,0.891361850731279,0.925261660271513,0.595170285233155,0.458112799860008,4.6865,0.9179,0.452492614227411,0.950423913401351,1,0.999334670868383,0.950667650047192,0.960139564389934,0.825235057171887,0.966870219558613,0.71216005033808,0.456413205493865,0.0350445084745571,4.86643333333333,"yes",186,"Protein kinase","domain","52-308;",52,308,NA,NA,"yes"
"304","P19525","P19525","E2AK2_HUMAN","EIF2AK2","Interferon-induced, double-stranded RNA-activated protein kinase",7,535,176186,199061,171393,201010,164045,210023,204593,212293,164344,210545,198745,196778,153753,158342,175005,162390,210321,189544,236912,214961,72104.7,74999.7,91746.1,80951.8,40896,52658.9,57760,60493,178488,209784,200976,212485,1,1,1,1,4,1,1,1,1,"4",0,0,0,0,"0","stabilized",5.0916,0.9383,0.190752851802646,1.01573750375101,1,0.931089870931856,0.932786941073638,1.19374411133688,1.01306573734576,0.872674332807374,0.409253289137616,0.232118329492695,5.3518,0.9856,0.250760994981508,1.02673208351493,1,1.05506854682735,1.05769085858104,0.952190534559758,1.05386790983668,0.795444612455478,0.376767423051226,0.264536498862158,5.1201,0.9162,0.300571928489295,1.18484432097242,1,1.19370686084029,1.15958644752119,1.38227348841551,1.1726033151879,1.02107437293238,0.535296657389742,0.337003261510097,5.3807,0.9881,0.294155747726944,1.03476433001909,1,1.05613153574449,0.978946321078553,1.06940450723845,1.05708671210388,0.807870255211183,0.402725237550371,0.300945226605641,0.0288867422919517,5.23605,"yes",541,"Protein kinase","domain","267-538;",267,538,NA,NA,"yes"
"305","O75385","O75385","ULK1_HUMAN","ULK1","Serine/threonine-protein kinase ULK1",8,238,147920,159092,154838,149579,186971,162148,162772,131136,165048,174165,119146,123334,85980.3,82447.5,56266,76456.5,175685,150155,159255,148153,83054.9,79369.6,74532,81226.3,83826.5,80235.1,64818.6,67501.4,137862,143316,123816,153739,1,1,1,1,4,1,1,0,1,"3",0,0,0,0,"0","stabilized",6.6308,0.9366,0.569709355498804,1.14189028637009,1,1.26400081124932,1.11579232017307,1.18770281233099,0.932003785830179,0.581262168739859,0.561485262303948,0.566701595457004,6.4061,0.9753,0.498538784448683,1.0157480007603,1,1.01920901113821,1.09474392175597,0.943824956628869,0.900837251401705,0.518237874940286,0.498891207603148,0.504331456012873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.9596,0.9121,0.49700294433057,0.943872612667069,1,0.876700606368541,0.824540878064434,0.990466576190508,1.02781139063639,0.511144612545879,0.543032778665454,0.451275914399749,0.0539551937587228,6.33216666666667,"yes",245,"Protein kinase","domain","16-278;",16,278,NA,NA,"yes"
