Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length,Mass
P12282,reviewed,MOEB_ECOLI,Molybdopterin-synthase adenylyltransferase (EC 2.7.7.80) (MoaD protein adenylase) (Molybdopterin-converting factor subunit 1 adenylase) (Sulfur carrier protein MoaD adenylyltransferase),moeB chlN b0826 JW0810,Escherichia coli (strain K12),249,26719
P12758,reviewed,UDP_ECOLI,Uridine phosphorylase (UPase) (UrdPase) (EC 2.4.2.3),udp b3831 JW3808,Escherichia coli (strain K12),253,27159
P13000,reviewed,BIOD1_ECOLI,ATP-dependent dethiobiotin synthetase BioD 1 (EC 6.3.3.3) (DTB synthetase 1) (DTBS 1) (Dethiobiotin synthase 1),bioD1 b0778 JW0761,Escherichia coli (strain K12),225,24140
P13458,reviewed,SBCC_ECOLI,Nuclease SbcCD subunit C,sbcC rmuA b0397 JW0387,Escherichia coli (strain K12),1048,118721
P14175,reviewed,PROV_ECOLI,Glycine betaine/proline betaine transport system ATP-binding protein ProV,proV b2677 JW2652,Escherichia coli (strain K12),400,44163
P14176,reviewed,PROW_ECOLI,Glycine betaine/proline betaine transport system permease protein ProW,proW b2678 JW2653,Escherichia coli (strain K12),354,37620
P14375,reviewed,ZRAR_ECOLI,Transcriptional regulatory protein ZraR,zraR hydG b4004 JW3968,Escherichia coli (strain K12),441,48395
P14377,reviewed,ZRAS_ECOLI,Sensor histidine kinase ZraS (EC 2.7.13.3),zraS hydH b4003 JW3967,Escherichia coli (strain K12),465,51032
P14565,reviewed,TRAI1_ECOLI,Multifunctional conjugation protein TraI [Includes: DNA relaxase TraI (EC 5.6.2.1) (DNA nickase TraI) (Transesterase TraI); DNA helicase I (EC 3.6.4.12)],traI ECOK12F104,Escherichia coli (strain K12),1756,192016
P14900,reviewed,MURD_ECOLI,UDP-N-acetylmuramoylalanine--D-glutamate ligase (EC 6.3.2.9) (D-glutamic acid-adding enzyme) (UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase),murD b0088 JW0086,Escherichia coli (strain K12),438,46974
P15005,reviewed,MCRB_ECOLI,Type IV methyl-directed restriction enzyme EcoKMcrB subunit (EcoKMcrBC) (5-methylcytosine-specific restriction enzyme B) (EC 3.1.21.-),mcrB rglB b4346 JW5871,Escherichia coli (strain K12),459,53157
P15028,reviewed,FECB_ECOLI,Fe(3+) dicitrate-binding periplasmic protein FecB (Iron(III) dicitrate-binding periplasmic protein),fecB b4290 JW4250,Escherichia coli (strain K12),300,33146
P15029,reviewed,FECD_ECOLI,Fe(3+) dicitrate transport system permease protein FecD (Iron(III) dicitrate transport system permease protein FecD),fecD b4288 JW4248,Escherichia coli (strain K12),318,34131
P15030,reviewed,FECC_ECOLI,Fe(3+) dicitrate transport system permease protein FecC (Iron(III) dicitrate transport system permease protein FecC),fecC b4289 JW4249,Escherichia coli (strain K12),332,34893
P15031,reviewed,FECE_ECOLI,Fe(3+) dicitrate transport ATP-binding protein FecE (EC 7.2.2.18) (Iron(III) dicitrate transport ATP-binding protein FecE),fecE b4287 JW4247,Escherichia coli (strain K12),255,28191
P15038,reviewed,HELD_ECOLI,DNA helicase IV (EC 5.6.2.4) (75 kDa helicase) (DNA 3'-5' helicase IV),helD b0962 JW0945,Escherichia coli (strain K12),684,77976
P15043,reviewed,RECQ_ECOLI,ATP-dependent DNA helicase RecQ (EC 5.6.2.4) (DNA 3'-5' helicase RecQ),recQ b3822 JW5855,Escherichia coli (strain K12),609,68364
P15254,reviewed,PUR4_ECOLI,Phosphoribosylformylglycinamidine synthase (FGAM synthase) (FGAMS) (EC 6.3.5.3) (Formylglycinamide ribonucleotide amidotransferase) (FGAR amidotransferase) (FGAR-AT),purL purI b2557 JW2541,Escherichia coli (strain K12),1295,141403
P15640,reviewed,PUR2_ECOLI,Phosphoribosylamine--glycine ligase (EC 6.3.4.13) (GARS) (Glycinamide ribonucleotide synthetase) (Phosphoribosylglycinamide synthetase),purD b4005 JW3969,Escherichia coli (strain K12),429,45940
P16384,reviewed,MIAA_ECOLI,tRNA dimethylallyltransferase (EC 2.5.1.75) (Dimethylallyl diphosphate:tRNA dimethylallyltransferase) (DMAPP:tRNA dimethylallyltransferase) (DMATase) (Isopentenyl-diphosphate:tRNA isopentenyltransferase) (IPP transferase) (IPPT) (IPTase),miaA trpX b4171 JW4129,Escherichia coli (strain K12),316,35065
P16456,reviewed,SELD_ECOLI,"Selenide, water dikinase (EC 2.7.9.3) (Selenium donor protein) (Selenophosphate synthase)",selD fdhB b1764 JW1753,Escherichia coli (strain K12),347,36687
P16659,reviewed,SYP_ECOLI,Proline--tRNA ligase (EC 6.1.1.15) (Global RNA synthesis factor) (Prolyl-tRNA synthetase) (ProRS),proS drpA b0194 JW0190,Escherichia coli (strain K12),572,63693
P16676,reviewed,CYSA_ECOLI,Sulfate/thiosulfate import ATP-binding protein CysA (EC 7.3.2.3) (Sulfate-transporting ATPase),cysA b2422 JW2415,Escherichia coli (strain K12),365,41059
P16677,reviewed,PHNC_ECOLI,Phosphonates import ATP-binding protein PhnC (EC 7.3.2.2),phnC b4106 JW4067,Escherichia coli (strain K12),262,29431
P16678,reviewed,PHNK_ECOLI,Putative phosphonates utilization ATP-binding protein PhnK,phnK b4097 JW5727,Escherichia coli (strain K12),252,27831
P16679,reviewed,PHNL_ECOLI,Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnL (RPnTP synthase subunit PhnL) (EC 2.7.8.37),phnL b4096 JW4057,Escherichia coli (strain K12),226,24705
P16682,reviewed,PHND_ECOLI,Phosphonates-binding periplasmic protein,phnD psiD b4105 JW4066,Escherichia coli (strain K12),338,37371
P16690,reviewed,PHNN_ECOLI,"Ribose 1,5-bisphosphate phosphokinase PhnN (EC 2.7.4.23) (Ribose 1,5-bisphosphokinase)",phnN b4094 JW4055,Escherichia coli (strain K12),185,20730
P16700,reviewed,CYSP_ECOLI,Thiosulfate-binding protein,cysP b2425 JW2418,Escherichia coli (strain K12),338,37615
P16701,reviewed,CYST_ECOLI,Sulfate transport system permease protein CysT,cysU cysT b2424 JW2417,Escherichia coli (strain K12),277,30292
P17115,reviewed,GUTQ_ECOLI,Arabinose 5-phosphate isomerase GutQ (API) (G-API) (EC 5.3.1.13) (Phosphosugar aldol-ketol isomerase),gutQ srlQ b2708 JW5431,Escherichia coli (strain K12),321,34031
P17888,reviewed,PRIA_ECOLI,Primosomal protein N' (EC 3.6.4.-) (ATP-dependent helicase PriA) (Replication factor Y),priA b3935 JW3906,Escherichia coli (strain K12),732,81655
P17952,reviewed,MURC_ECOLI,UDP-N-acetylmuramate--L-alanine ligase (EC 6.3.2.8) (UDP-N-acetylmuramoyl-L-alanine synthetase),murC b0091 JW0089,Escherichia coli (strain K12),491,53626
P18392,reviewed,RSTB_ECOLI,Sensor protein RstB (EC 2.7.13.3),rstB uspT b1609 JW1601,Escherichia coli (strain K12),433,49283
P18843,reviewed,NADE_ECOLI,NH(3)-dependent NAD(+) synthetase (EC 6.3.1.5) (Nicotinamide adenine dinucleotide synthetase) (NADS) (Nitrogen regulatory protein),nadE efg ntrL b1740 JW1729,Escherichia coli (strain K12),275,30637
P19323,reviewed,FHLA_ECOLI,Formate hydrogenlyase transcriptional activator FhlA,fhlA b2731 JW2701,Escherichia coli (strain K12),692,78468
P20083,reviewed,PARE_ECOLI,DNA topoisomerase 4 subunit B (EC 5.6.2.2) (Topoisomerase IV subunit B),parE nfxD b3030 JW2998,Escherichia coli (strain K12),630,70244
P20605,reviewed,FIC_ECOLI,Probable protein adenylyltransferase Fic (EC 2.7.7.108) (Cell filamentation protein Fic),fic b3361 JW3324,Escherichia coli (strain K12),200,22960
P21156,reviewed,CYSD_ECOLI,Sulfate adenylyltransferase subunit 2 (EC 2.7.7.4) (ATP-sulfurylase small subunit) (Sulfate adenylate transferase) (SAT),cysD b2752 JW2722,Escherichia coli (strain K12),302,35188
P21507,reviewed,SRMB_ECOLI,ATP-dependent RNA helicase SrmB (EC 3.6.4.13),srmB rbaB rhlA b2576 JW2560,Escherichia coli (strain K12),444,49914
P21599,reviewed,KPYK2_ECOLI,Pyruvate kinase II (EC 2.7.1.40) (PK-2),pykA b1854 JW1843,Escherichia coli (strain K12),480,51357
P21693,reviewed,DBPA_ECOLI,ATP-dependent RNA helicase DbpA (EC 3.6.4.13),dbpA b1343 JW1337,Escherichia coli (strain K12),457,49188
P21865,reviewed,KDPD_ECOLI,Sensor protein KdpD (EC 2.7.13.3),kdpD b0695 JW0683,Escherichia coli (strain K12),894,98718
P21888,reviewed,SYC_ECOLI,Cysteine--tRNA ligase (EC 6.1.1.16) (Cysteinyl-tRNA synthetase) (CysRS),cysS b0526 JW0515,Escherichia coli (strain K12),461,52202
P21889,reviewed,SYD_ECOLI,Aspartate--tRNA ligase (EC 6.1.1.12) (Aspartyl-tRNA synthetase) (AspRS),aspS tls b1866 JW1855,Escherichia coli (strain K12),590,65913
P22106,reviewed,ASNB_ECOLI,Asparagine synthetase B [glutamine-hydrolyzing] (AS-B) (EC 6.3.5.4),asnB b0674 JW0660,Escherichia coli (strain K12),554,62659
P22188,reviewed,MURE_ECOLI,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase (EC 6.3.2.13) (Meso-A2pm-adding enzyme) (Meso-diaminopimelate-adding enzyme) (UDP-MurNAc-L-Ala-D-Glu:meso-diaminopimelate ligase) (UDP-MurNAc-tripeptide synthetase) (UDP-N-acetylmuramyl-tripeptide synthetase)",murE b0085 JW0083,Escherichia coli (strain K12),495,53344
P22259,reviewed,PCKA_ECOLI,Phosphoenolpyruvate carboxykinase (ATP) (PCK) (PEP carboxykinase) (PEPCK) (EC 4.1.1.49),pckA pck b3403 JW3366,Escherichia coli (strain K12),540,59643
P22523,reviewed,MUKB_ECOLI,Chromosome partition protein MukB (Structural maintenance of chromosome-related protein),mukB b0924 JW0907,Escherichia coli (strain K12),1486,170230
P22729,reviewed,LIVM_ECOLI,High-affinity branched-chain amino acid transport system permease protein LivM (LIV-I protein M),livM b3456 JW3421,Escherichia coli (strain K12),425,46269
P22731,reviewed,LIVF_ECOLI,High-affinity branched-chain amino acid transport ATP-binding protein LivF (LIV-I protein F),livF b3454 JW3419,Escherichia coli (strain K12),237,26310
P22787,reviewed,YIFB_ECOLI,Uncharacterized protein YifB,yifB b3765 JW3738,Escherichia coli (strain K12),506,55146
P23200,reviewed,MGLC_ECOLI,Galactose/methyl galactoside import permease protein MglC,mglC b2148 JW2135,Escherichia coli (strain K12),336,35550
P23331,reviewed,KITH_ECOLI,Thymidine kinase (EC 2.7.1.21),tdk b1238 JW1226,Escherichia coli (strain K12),205,23457
P23367,reviewed,MUTL_ECOLI,DNA mismatch repair protein MutL,mutL b4170 JW4128,Escherichia coli (strain K12),615,67924
P23524,reviewed,GLXK1_ECOLI,Glycerate 2-kinase (EC 2.7.1.165) (Glycerate kinase 1) (GK1),garK yhaD b3124 JW3093,Escherichia coli (strain K12),381,39104
P23538,reviewed,PPSA_ECOLI,"Phosphoenolpyruvate synthase (PEP synthase) (EC 2.7.9.2) (Pyruvate, water dikinase)",ppsA pps b1702 JW1692,Escherichia coli (strain K12),792,87435
P23837,reviewed,PHOQ_ECOLI,Sensor protein PhoQ (EC 2.7.13.3) (EC 3.1.3.-) (Sensor histidine protein kinase/phosphatase PhoQ),phoQ b1129 JW1115,Escherichia coli (strain K12),486,55300
P23843,reviewed,OPPA_ECOLI,Periplasmic oligopeptide-binding protein OppA (Polyamine-induced protein) (PI protein),oppA b1243 JW1235,Escherichia coli (strain K12),543,60899
P23845,reviewed,CYSN_ECOLI,Sulfate adenylyltransferase subunit 1 (EC 2.7.7.4) (ATP-sulfurylase large subunit) (Sulfate adenylate transferase) (SAT),cysN b2751 JW2721,Escherichia coli (strain K12),475,52558
P23847,reviewed,DPPA_ECOLI,Dipeptide-binding protein (DBP) (Periplasmic dipeptide transport protein),dppA b3544 JW3513,Escherichia coli (strain K12),535,60294
P23849,reviewed,TRKG_ECOLI,Trk system potassium uptake protein TrkG,trkG b1363 JW1358,Escherichia coli (strain K12),485,53944
P23874,reviewed,HIPA_ECOLI,Serine/threonine-protein kinase toxin HipA (Ser/Thr-protein kinase HipA) (EC 2.7.11.1) (Toxin HipA),hipA b1507 JW1500,Escherichia coli (strain K12),440,49276
P23876,reviewed,FEPD_ECOLI,Ferric enterobactin transport system permease protein FepD,fepD b0590 JW0582,Escherichia coli (strain K12),334,33871
P23877,reviewed,FEPG_ECOLI,Ferric enterobactin transport system permease protein FepG,fepG b0589 JW0581,Escherichia coli (strain K12),330,34910
P23878,reviewed,FEPC_ECOLI,Ferric enterobactin transport ATP-binding protein FepC (EC 7.2.2.17),fepC b0588 JW0580,Escherichia coli (strain K12),271,29784
P23886,reviewed,CYDC_ECOLI,Glutathione/L-cysteine transport system ATP-binding/permease protein CydC (EC 7.4.2.-),cydC mdrA mdrH surB b0886 JW0869,Escherichia coli (strain K12),573,62920
P23909,reviewed,MUTS_ECOLI,DNA mismatch repair protein MutS,mutS fdv b2733 JW2703,Escherichia coli (strain K12),853,95247
P23917,reviewed,MAK_ECOLI,Fructokinase (EC 2.7.1.4) (D-fructose kinase) (Manno(fructo)kinase),mak yajF b0394 JW0385,Escherichia coli (strain K12),302,32500
P24182,reviewed,ACCC_ECOLI,Biotin carboxylase (EC 6.3.4.14) (Acetyl-coenzyme A carboxylase biotin carboxylase subunit A),accC fabG b3256 JW3224,Escherichia coli (strain K12),449,49321
P24230,reviewed,RECG_ECOLI,ATP-dependent DNA helicase RecG (EC 5.6.2.4) (DNA branch migration protein RecG) (Probable DNA 3'-5' helicase RecG),recG radC spoV b3652 JW3627,Escherichia coli (strain K12),693,76430
P24554,reviewed,RADA_ECOLI,DNA repair protein RadA (EC 3.6.4.-) (Branch migration protein RadA) (DNA repair protein Sms),radA sms b4389 JW4352,Escherichia coli (strain K12),460,49472
P25519,reviewed,HFLX_ECOLI,GTPase HflX (GTP-binding protein HflX),hflX b4173 JW4131,Escherichia coli (strain K12),426,48327
P25741,reviewed,WAAP_ECOLI,Lipopolysaccharide core heptose(I) kinase WaaP (EC 2.7.1.235),waaP rfaP b3630 JW3605,Escherichia coli (strain K12),265,30872
P25745,reviewed,MNMA_ECOLI,tRNA-specific 2-thiouridylase MnmA (EC 2.8.1.13),mnmA asuE trmU ycfB b1133 JW1119,Escherichia coli (strain K12),368,40959
P25888,reviewed,RHLE_ECOLI,ATP-dependent RNA helicase RhlE (EC 3.6.4.13),rhlE b0797 JW0781,Escherichia coli (strain K12),454,49989
P26281,reviewed,HPPK_ECOLI,"2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase (EC 2.7.6.3) (6-hydroxymethyl-7,8-dihydropterin pyrophosphokinase) (PPPK) (7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase) (HPPK)",folK b0142 JW0138,Escherichia coli (strain K12),159,18079
P27240,reviewed,WAAY_ECOLI,Lipopolysaccharide core heptose(II) kinase WaaY (EC 2.7.1.-),waaY rfaY b3625 JW3600,Escherichia coli (strain K12),232,27461
P27254,reviewed,ARGK_ECOLI,GTPase ArgK (EC 3.6.5.-) (G-protein chaperone),argK ygfD b2918 JW2885,Escherichia coli (strain K12),331,36704
P27278,reviewed,NADR_ECOLI,Trifunctional NAD biosynthesis/regulator protein NadR [Includes: Transcriptional regulator NadR; Nicotinamide mononucleotide adenylyltransferase (NMN adenylyltransferase) (NMN-AT) (NMNAT) (EC 2.7.7.1) (Nicotinamide ribonucleotide adenylyltransferase) (Nicotinamide-nucleotide adenylyltransferase); Ribosylnicotinamide kinase (RNK) (EC 2.7.1.22) (Nicotinamide riboside kinase) (NRK) (NmR-K)],nadR nadI b4390 JW5800,Escherichia coli (strain K12),410,47346
P27296,reviewed,DING_ECOLI,ATP-dependent DNA helicase DinG (EC 5.6.2.3) (DNA 5'-3' helicase DinG),dinG rarB b0799 JW0784,Escherichia coli (strain K12),716,81440
P27297,reviewed,BAX_ECOLI,Protein bax,bax b3570 JW5653,Escherichia coli (strain K12),274,30868
P27300,reviewed,LPXK_ECOLI,Tetraacyldisaccharide 4'-kinase (EC 2.7.1.130) (Lipid A 4'-kinase),lpxK ycaH b0915 JW0898,Escherichia coli (strain K12),328,35589
P27305,reviewed,GLUQ_ECOLI,Glutamyl-Q tRNA(Asp) synthetase (Glu-Q-RSs) (EC 6.1.1.-),gluQ yadB b0144 JW5892,Escherichia coli (strain K12),308,34868
P27550,reviewed,ACSA_ECOLI,Acetyl-coenzyme A synthetase (AcCoA synthetase) (Acs) (EC 6.2.1.1) (Acetate--CoA ligase) (Acyl-activating enzyme),acs yfaC b4069 JW4030,Escherichia coli (strain K12),652,72094
P27896,reviewed,NARQ_ECOLI,Nitrate/nitrite sensor protein NarQ (EC 2.7.13.3),narQ b2469 JW2453,Escherichia coli (strain K12),566,63697
P28635,reviewed,METQ_ECOLI,D-methionine-binding lipoprotein MetQ,metQ yaeC b0197 JW0193,Escherichia coli (strain K12),271,29432
P28903,reviewed,NRDD_ECOLI,Anaerobic ribonucleoside-triphosphate reductase (EC 1.1.98.6) (Class III ribonucleoside-triphosphate reductase),nrdD b4238 JW4197,Escherichia coli (strain K12),712,80023
P29018,reviewed,CYDD_ECOLI,Glutathione/L-cysteine transport system ATP-binding/permease protein CydD (EC 7.4.2.-),cydD htrD b0887 JW0870,Escherichia coli (strain K12),588,65056
P30015,reviewed,LHR_ECOLI,Probable ATP-dependent helicase Lhr (EC 3.6.4.-) (Large helicase-related protein),lhr rhlF b1653 JW1645,Escherichia coli (strain K12),1538,169381
P30138,reviewed,THIF_ECOLI,Sulfur carrier protein ThiS adenylyltransferase (EC 2.7.7.73),thiF b3992 JW3956,Escherichia coli (strain K12),251,26970
P30235,reviewed,PSUK_ECOLI,Pseudouridine kinase (EC 2.7.1.83),psuK pscK yeiC b2166 JW2153,Escherichia coli (strain K12),313,33573
P30750,reviewed,METN_ECOLI,Methionine import ATP-binding protein MetN (EC 7.4.2.11),metN abc b0199 JW0195,Escherichia coli (strain K12),343,37788
P30844,reviewed,BASS_ECOLI,Sensor protein BasS (EC 2.7.13.3),basS pmrB b4112 JW4073,Escherichia coli (strain K12),363,41029
P30847,reviewed,BAES_ECOLI,Signal transduction histidine-protein kinase BaeS (EC 2.7.13.3),baeS b2078 JW2063,Escherichia coli (strain K12),467,51991
P30855,reviewed,EVGS_ECOLI,Sensor protein EvgS (EC 2.7.13.3),evgS b2370 JW2367,Escherichia coli (strain K12),1197,134743
P30859,reviewed,ARTI_ECOLI,Putative ABC transporter arginine-binding protein 2,artI b0863 JW0847,Escherichia coli (strain K12),243,26930
P30860,reviewed,ARTJ_ECOLI,ABC transporter arginine-binding protein 1,artJ b0860 JW0844,Escherichia coli (strain K12),243,26829
P30870,reviewed,GLNE_ECOLI,Bifunctional glutamine synthetase adenylyltransferase/adenylyl-removing enzyme (ATP:glutamine synthetase adenylyltransferase) (ATase) [Includes: Glutamine synthetase adenylyl-L-tyrosine phosphorylase (EC 2.7.7.89) (Adenylyl removase) (AR) (AT-N) (AT-N440) (P-I); Glutamine synthetase adenylyl transferase (EC 2.7.7.42) (Adenylyl transferase) (AT) (AT-C)],glnE b3053 JW3025,Escherichia coli (strain K12),946,108418
P30958,reviewed,MFD_ECOLI,Transcription-repair-coupling factor (TRCF) (EC 3.6.4.-),mfd b1114 JW1100,Escherichia coli (strain K12),1148,129983
P31060,reviewed,MODF_ECOLI,ABC transporter ATP-binding protein ModF (Photorepair protein PhrA),modF ORF6 phrA b0760 JW0743,Escherichia coli (strain K12),490,54536
P31119,reviewed,AAS_ECOLI,Bifunctional protein Aas [Includes: 2-acylglycerophosphoethanolamine acyltransferase (EC 2.3.1.40) (2-acyl-GPE acyltransferase) (Acyl-[acyl-carrier-protein]--phospholipid O-acyltransferase); Acyl-[acyl-carrier-protein] synthetase (EC 6.2.1.20) (Acyl-ACP synthetase) (Long-chain-fatty-acid--[acyl-carrier-protein] ligase)],aas b2836 JW2804,Escherichia coli (strain K12),719,80700
P31133,reviewed,POTF_ECOLI,Putrescine-binding periplasmic protein PotF,potF b0854 JW0838,Escherichia coli (strain K12),370,40840
P31134,reviewed,POTG_ECOLI,Putrescine transport ATP-binding protein PotG (EC 7.6.2.16),potG b0855 JW5818,Escherichia coli (strain K12),377,41931
P31135,reviewed,POTH_ECOLI,Putrescine transport system permease protein PotH,potH b0856 JW0840,Escherichia coli (strain K12),317,35490
P31459,reviewed,DGOK_ECOLI,2-dehydro-3-deoxygalactonokinase (EC 2.7.1.58) (2-keto-3-deoxy-galactonokinase) (2-oxo-3-deoxygalactonate kinase),dgoK yidV b3693 JW3670,Escherichia coli (strain K12),292,31374
P31473,reviewed,RAVA_ECOLI,ATPase RavA (EC 3.6.3.-) (Regulatory ATPase variant A),ravA yieN b3746 JW3725,Escherichia coli (strain K12),498,56389
P31547,reviewed,METI_ECOLI,D-methionine transport system permease protein MetI,metI yaeE b0198 JW0194,Escherichia coli (strain K12),217,23256
P31548,reviewed,THIQ_ECOLI,Thiamine import ATP-binding protein ThiQ (EC 7.6.2.15),thiQ yabJ b0066 JW0065,Escherichia coli (strain K12),232,24999
P31549,reviewed,THIP_ECOLI,Thiamine transport system permease protein ThiP,thiP yabK b0067 JW0066,Escherichia coli (strain K12),536,59533
P31550,reviewed,THIB_ECOLI,Thiamine-binding periplasmic protein,thiB tbpA yabL b0068 JW0067,Escherichia coli (strain K12),327,36163
P31663,reviewed,PANC_ECOLI,Pantothenate synthetase (PS) (EC 6.3.2.1) (Pantoate--beta-alanine ligase) (Pantoate-activating enzyme),panC b0133 JW0129,Escherichia coli (strain K12),283,31598
P31802,reviewed,NARP_ECOLI,Nitrate/nitrite response regulator protein NarP,narP b2193 JW2181,Escherichia coli (strain K12),215,23575
P31806,reviewed,NNR_ECOLI,Bifunctional NAD(P)H-hydrate repair enzyme Nnr (Nicotinamide nucleotide repair protein) [Includes: ADP-dependent (S)-NAD(P)H-hydrate dehydratase (EC 4.2.1.136) (ADP-dependent NAD(P)HX dehydratase); NAD(P)H-hydrate epimerase (EC 5.1.99.6) (NAD(P)HX epimerase)],nnr yjeF b4167 JW4125,Escherichia coli (strain K12),515,54650
P31826,reviewed,YDDA_ECOLI,Inner membrane ABC transporter ATP-binding protein YddA (CDS102),yddA b1496 JW5242,Escherichia coli (strain K12),561,64985
P32099,reviewed,LPLA_ECOLI,Lipoate-protein ligase A (EC 6.3.1.20) (Lipoate--protein ligase),lplA yjjF b4386 JW4349,Escherichia coli (strain K12),338,37926
P32143,reviewed,SQUV_ECOLI,Sulfofructose kinase (SF kinase) (EC 2.7.1.184),yihV b3883 JW5568,Escherichia coli (strain K12),298,31728
P32171,reviewed,RHAB_ECOLI,L-Rhamnulokinase (RhaB) (RhuK) (EC 2.7.1.5) (ATP:L-rhamnulose phosphotransferase) (L-rhamnulose 1-kinase) (Rhamnulose kinase),rhaB b3904 JW3875,Escherichia coli (strain K12),489,54069
P32718,reviewed,ALSK_ECOLI,D-allose kinase (Allokinase) (EC 2.7.1.55),alsK yjcT b4084 JW5724,Escherichia coli (strain K12),309,33821
P32720,reviewed,ALSC_ECOLI,D-allose transport system permease protein AlsC,alsC yjcV b4086 JW4047,Escherichia coli (strain K12),326,34316
P32721,reviewed,ALSA_ECOLI,D-allose import ATP-binding protein AlsA (EC 7.5.2.8),alsA yjcW b4087 JW4048,Escherichia coli (strain K12),510,56745
P33221,reviewed,PURT_ECOLI,Formate-dependent phosphoribosylglycinamide formyltransferase (EC 6.3.1.21) (5'-phosphoribosylglycinamide transformylase 2) (Formate-dependent GAR transformylase) (GAR transformylase 2) (GART 2) (GAR transformylase T) (Non-folate glycinamide ribonucleotide transformylase) (Phosphoribosylglycinamide formyltransferase 2),purT b1849 JW1838,Escherichia coli (strain K12),392,42434
P33222,reviewed,YJFC_ECOLI,Putative acid--amine ligase YjfC (EC 6.3.1.-),yjfC b4186 JW4144,Escherichia coli (strain K12),387,45020
P33348,reviewed,YEHL_ECOLI,Uncharacterized protein YehL,yehL b2119 JW5349,Escherichia coli (strain K12),362,39682
P33359,reviewed,YEHW_ECOLI,Glycine betaine uptake system permease protein YehW,yehW b2128 JW2116,Escherichia coli (strain K12),243,25515
P33360,reviewed,YEHX_ECOLI,Glycine betaine uptake system ATP-binding protein YehX (EC 7.4.2.-),yehX b2129 JW2117,Escherichia coli (strain K12),308,34425
P33361,reviewed,YEHY_ECOLI,Glycine betaine uptake system permease protein YehY,yehY b2130 JW2118,Escherichia coli (strain K12),385,41139
P33362,reviewed,YEHZ_ECOLI,Glycine betaine-binding protein YehZ,yehZ osmF b2131 JW2119,Escherichia coli (strain K12),305,32609
P33590,reviewed,NIKA_ECOLI,Nickel-binding periplasmic protein,nikA b3476 JW3441,Escherichia coli (strain K12),524,58719
P33591,reviewed,NIKB_ECOLI,Nickel transport system permease protein NikB,nikB b3477 JW3442,Escherichia coli (strain K12),314,35248
P33593,reviewed,NIKD_ECOLI,Nickel import ATP-binding protein NikD (EC 7.2.2.11),nikD b3479 JW3444,Escherichia coli (strain K12),254,26820
P33594,reviewed,NIKE_ECOLI,Nickel import ATP-binding protein NikE (EC 7.2.2.11),nikE b3480 JW3445,Escherichia coli (strain K12),268,29722
P33913,reviewed,YEJA_ECOLI,Uncharacterized protein YejA,yejA b2177 JW2165,Escherichia coli (strain K12),604,69669
P33915,reviewed,YEJE_ECOLI,Inner membrane ABC transporter permease protein YejE,yejE b2179 JW2167,Escherichia coli (strain K12),341,38092
P33916,reviewed,YEJF_ECOLI,Uncharacterized ABC transporter ATP-binding protein YejF,yejF b2180 JW2168,Escherichia coli (strain K12),529,58726
P33919,reviewed,RADD_ECOLI,Putative DNA repair helicase RadD (EC 3.6.4.12),radD yejH yejI yejJ b2184 JW2172,Escherichia coli (strain K12),586,66413
P33931,reviewed,CCMA_ECOLI,Cytochrome c biogenesis ATP-binding export protein CcmA (EC 7.6.2.5) (Heme exporter protein A),ccmA yejW b2201 JW5366,Escherichia coli (strain K12),207,23053
P33941,reviewed,YOJI_ECOLI,ABC transporter ATP-binding/permease protein YojI,yojI yojJ b2211 JW2199,Escherichia coli (strain K12),547,61553
P36645,reviewed,HOFB_ECOLI,Protein transport protein HofB homolog,hofB hopB b0107 JW0103,Escherichia coli (strain K12),461,50615
P36879,reviewed,YADG_ECOLI,Uncharacterized ABC transporter ATP-binding protein YadG,yadG b0127 JW0123,Escherichia coli (strain K12),308,34647
P36928,reviewed,YEGD_ECOLI,Uncharacterized chaperone protein YegD,yegD b2069 JW2054,Escherichia coli (strain K12),450,49371
P37009,reviewed,FBPC_ECOLI,Fe(3+) ions import ATP-binding protein FbpC (EC 7.2.2.7),fbpC afuC yagC b0262 JW0254,Escherichia coli (strain K12),348,39059
P37013,reviewed,NORR_ECOLI,Anaerobic nitric oxide reductase transcription regulator NorR,norR ygaA b2709 JW5843,Escherichia coli (strain K12),504,55236
P37024,reviewed,HRPB_ECOLI,ATP-dependent RNA helicase HrpB (EC 3.6.4.13),hrpB yadO b0148 JW0144,Escherichia coli (strain K12),809,89148
P37028,reviewed,BTUF_ECOLI,Vitamin B12-binding protein,btuF yadT b0158 JW0154,Escherichia coli (strain K12),266,29367
P37306,reviewed,ALLK_ECOLI,Carbamate kinase (EC 2.7.2.2) (Catabolic carbamate kinase) (Catabolic CK),allK arcC ybcF b0521 JW0510,Escherichia coli (strain K12),297,31644
P37313,reviewed,DPPF_ECOLI,Dipeptide transport ATP-binding protein DppF (EC 7.4.2.9),dppF dppE b3540 JW3509,Escherichia coli (strain K12),334,37560
