Protein.Group,Protein.Ids,Protein.Names,Genes,First.Protein.Description,/nextflow_runs/work/21/d5c0409d24545d8e1975cfdc0bf9d6/250625_Stitch_S4611_IB_TPP_stauros_treat_T4_rep4_R1.mzML,/nextflow_runs/work/93/926a0a4e2d95ad220653b60c33e0b0/250625_Stitch_S4611_IB_TPP_stauros_treat_T4_rep2_R1.mzML,/nextflow_runs/work/69/f85b93db9e34d2529e73b620d4524e/250625_Stitch_S4610_IB_TPP_stauros_control_T4_rep4_R1.mzML,/nextflow_runs/work/74/e0cf66cc722ed1285cb1cbcfc26fcc/250625_Stitch_S4611_IB_TPP_stauros_treat_T4_rep3_R1.mzML,/nextflow_runs/work/9f/7ceb0175e1c81fada40264a9bd4876/250625_Stitch_S4611_IB_TPP_stauros_treat_T4_rep1_R1.mzML,/nextflow_runs/work/ab/bd0c6ba4de0964352a132f168071a6/250625_Stitch_S4610_IB_TPP_stauros_control_T4_rep1_R1.mzML,/nextflow_runs/work/d4/a2fed89bac78aaf88800451e7e35f5/250625_Stitch_S4610_IB_TPP_stauros_control_T4_rep3_R1.mzML,/nextflow_runs/work/c2/591c476288ded598123ae1dccdf598/250625_Stitch_S4610_IB_TPP_stauros_control_T4_rep2_R1.mzML
Q3UQ28,Q3UQ28,PXDN_MOUSE,Pxdn,Peroxidasin homolog,12159.9,9432.92,12968.5,12299.5,14050.1,7219.44,11247.8,13474
Q3UQ44,Q3UQ44,IQGA2_MOUSE,Iqgap2,Ras GTPase-activating-like protein IQGAP2,853159,886743,991069,1.01E+06,949515,955618,984215,1.02E+06
Q3UQ44;Q9JKF1,Q9JKF1;Q3UQ44,IQGA1_MOUSE;IQGA2_MOUSE,Iqgap1;Iqgap2,Ras GTPase-activating-like protein IQGAP2,379635,424205,442548,425268,388556,285138,402972,454793
Q3UQ84,Q3UQ84,SYTM_MOUSE,Tars2,"Threonine--tRNA ligase, mitochondrial",190900,184232,200924,184808,172429,184112,179130,176184
Q3UQA7,Q3UQA7,SELH_MOUSE,Selenoh,Selenoprotein H,57876.1,52003.2,51378.4,57485.8,55418.7,47326.3,58233.7,64983.6
Q3UQN2,Q3UQN2,FCHO2_MOUSE,Fcho2,F-BAR domain only protein 2,130021,129369,133229,140448,131794,123881,133683,136511
Q3UR70,Q3UR70,TGFA1_MOUSE,Tgfbrap1,Transforming growth factor-beta receptor-associated protein 1,24761.1,27796.9,26468.8,25308.6,32210,27211.7,26242.4,27189.3
Q3URD3,Q3URD3,SLMAP_MOUSE,Slmap,Sarcolemmal membrane-associated protein,178589,180882,171948,154529,154566,189410,194358,190577
Q3URE1,Q3URE1,ACSF3_MOUSE,Acsf3,"Malonate--CoA ligase ACSF3, mitochondrial",248882,237449,270501,277079,285882,275072,258504,286966
Q3URF8,Q3URF8,KCD21_MOUSE,Kctd21,BTB/POZ domain-containing protein KCTD21,29725.7,23836.9,36448.9,28702.5,18035,25619.1,31408.6,24388.4
Q3URQ0,Q3URQ0,TEX10_MOUSE,Tex10,Testis-expressed protein 10,12131,14923.7,14680,17885.4,,14781.7,15526.2,
Q3URQ7,Q3URQ7,MTHSD_MOUSE,Mthfsd,Methenyltetrahydrofolate synthase domain-containing protein,40703,33681.3,32573,28684.4,29466.6,34092.2,31826.2,26440.3
Q3URS9,Q3URS9,MITOK_MOUSE,Ccdc51,Mitochondrial potassium channel,241520,249818,231046,226264,253408,239750,247685,243600
Q3URV1,Q3URV1,BROMI_MOUSE,Tbc1d32,Protein broad-minded,30708.8,30478.2,35002.5,36733.9,23969.2,23194.1,20741.2,29287.8
Q3USH5,Q3USH5,SFSWA_MOUSE,Sfswap,"Splicing factor, suppressor of white-apricot homolog",39449.5,33358.8,26345.9,27331.4,29822.6,30693.9,26444,30969.3
Q3USJ8,Q3USJ8,FCSD2_MOUSE,Fchsd2,F-BAR and double SH3 domains protein 2,17054,15955,21293.9,16302.3,13875.6,19155.8,18044.6,21621.9
Q3USS3,Q3USS3,DRC1_MOUSE,Drc1,Dynein regulatory complex protein 1,51495,62619.7,79499.2,84288.1,55868.2,22830.1,68179.7,57345.2
Q3USZ8,Q3USZ8,DIK2A_MOUSE,Dipk2a,Divergent protein kinase domain 2A,41412.1,30072.2,39608.1,38609.9,40000.9,42035.8,44583.5,35556
Q3UTJ2,Q3UTJ2,SRBS2_MOUSE,Sorbs2,Sorbin and SH3 domain-containing protein 2,274157,277018,277690,271561,251099,300772,317078,274519
Q3UTJ2;Q62417,Q3UTJ2;Q62417,SRBS1_MOUSE;SRBS2_MOUSE,Sorbs1;Sorbs2,Sorbin and SH3 domain-containing protein 2,31849.3,27223.3,46227.1,40671.4,37829.8,61235.1,38009.9,39681.3
Q3UTQ8,Q3UTQ8,CDKL5_MOUSE,Cdkl5,Cyclin-dependent kinase-like 5,10170.6,8850.43,6080.85,5975.37,,10691.6,3224.88,8365.99
Q3UTQ8;Q8BZ03,Q3UTQ8;Q62101;Q69ZM6;Q8BLF2;Q8BZ03;Q8K1Y2;Q9QUK0;Q8CEQ0,CDKL5_MOUSE;KPCD2_MOUSE,Cdkl5;Prkd2,Cyclin-dependent kinase-like 5,5879.12,,17296.3,12337.3,8162.54,19324.9,14167.9,11601.7
Q3UTZ3,Q3UTZ3,TPC14_MOUSE,Trappc14,Trafficking protein particle complex subunit 14,20254.2,13408.5,16459.8,20106.2,13371.6,9237.3,17236.9,16551.9
Q3UU96,Q3UU96,MRCKA_MOUSE,Cdc42bpa,Serine/threonine-protein kinase MRCK alpha,12962.4,11559.2,10355.1,11268.5,14468.5,12101.3,9455.62,11825.4
Q3UU96;Q7TT50,Q3UU96;Q7TT50,MRCKA_MOUSE;MRCKB_MOUSE,Cdc42bpa;Cdc42bpb,Serine/threonine-protein kinase MRCK alpha,58253.6,51980.5,60819.2,58972.2,53212.1,45437.9,51580,48310.5
Q3UUG6,Q3UUG6,TBC24_MOUSE,Tbc1d24,TBC1 domain family member 24,108055,96750,103188,79120.3,108765,76728.9,98548.7,87017.1
Q3UUI3,Q3UUI3,THEM4_MOUSE,Them4,Acyl-coenzyme A thioesterase THEM4,558831,512794,567798,641555,502024,591625,546534,508260
Q3UUQ7,Q3UUQ7,PGAP1_MOUSE,Pgap1,GPI inositol-deacylase,194927,220505,207993,200418,204975,198160,222686,210463
Q3UV17,Q3UV17,K22O_MOUSE,Krt76,"Keratin, type II cytoskeletal 2 oral",76249.8,751650,74841.2,31248.7,304741,791905,272761,169826
Q3UV55,Q3UV55;Q60674,NR1D1_MOUSE,Nr1d1,Nuclear receptor subfamily 1 group D member 1,26883.5,8501.67,25174,21774.2,22948.3,10045.3,15148,10292.4
Q3UVG3,Q3UVG3,F91A1_MOUSE,Fam91a1,Protein FAM91A1,64311.5,67587.2,65557.1,68194.7,62682.3,69611.4,70765.5,65884.5
Q3UVK0,Q3UVK0,ERMP1_MOUSE,Ermp1,Endoplasmic reticulum metallopeptidase 1,117148,128017,128359,130134,123164,131633,123671,128546
Q3UVL4,Q3UVL4,VPS51_MOUSE,Vps51,Vacuolar protein sorting-associated protein 51 homolog,45478.1,48346.9,42415.9,42895.3,44944.2,43771.9,48123.4,45250.9
Q3UVU3,Q3UVU3,ZNT10_MOUSE,Slc30a10,Calcium/manganese antiporter SLC30A10,58072.1,81142,49621.9,40771.1,41664.2,72528.6,100845,50774.1
Q3UW53,Q3UW53,NIBA1_MOUSE,Niban1,Protein Niban 1,59560,58252,61483.2,65980.6,58921.2,54557.4,60690.6,61769.2
Q3UWZ0,Q3UWZ0,TRI75_MOUSE,Trim75,Tripartite motif-containing protein 75,28598.4,24686.1,24970.2,27185.9,21782.6,20963.9,26335.5,23497.9
Q3UXL4,Q3UXL4,KIZ_MOUSE,Kiz,Centrosomal protein kizuna,,10335.5,,,9605.14,,,
Q3UY34,Q3UY34,CSTOS_MOUSE,Custos,Protein CUSTOS,23776.7,21180,28281.2,21485.1,29432.4,17340.5,29664.6,25687.2
Q3UYC0,Q3UYC0,PPM1H_MOUSE,Ppm1h,Protein phosphatase 1H,27611.9,11278.1,26703,24803.8,29471,25199.9,23793.6,22112.5
Q3UYI5,Q3UYI5,RGL3_MOUSE,Rgl3,Ral guanine nucleotide dissociation stimulator-like 3,36190,41618.7,40432.9,42426.6,40632.1,41094.9,45422.3,44580.6
Q3UYV9,Q3UYV9,NCBP1_MOUSE,Ncbp1,Nuclear cap-binding protein subunit 1,86323.3,73008,84220.1,73450.7,73762.8,67526.9,83116.2,76444.9
Q3UZ01,Q3UZ01,RNPC3_MOUSE,Rnpc3,RNA-binding region-containing protein 3,13835.7,6125.86,7439.4,6572.43,11842.5,8669.12,8825.34,9832.91
Q3UZ09,Q3UZ09,C1RL_MOUSE,C1rl,Complement C1r subcomponent-like protein,45474.7,56187.9,44735.3,48946.9,60300.5,58353.4,59035.7,63802.8
Q3UZ39,Q3UZ39,LRRF1_MOUSE,Lrrfip1,Leucine-rich repeat flightless-interacting protein 1,157397,158871,165938,148379,154028,143724,166384,150913
Q3UZ39;Q91WK0,Q3UZ39;Q91WK0,LRRF1_MOUSE;LRRF2_MOUSE,Lrrfip1;Lrrfip2,Leucine-rich repeat flightless-interacting protein 1,73442.5,111343,85563.8,79096.9,79479.4,62254.4,97632.5,106052
Q3UZA1,Q3UZA1,CPZIP_MOUSE,Rcsd1,CapZ-interacting protein,43649.2,43034.9,39434,39796.3,41473.4,33879.9,39951.8,39790
Q3UZP0,Q3UZP0,MALD2_MOUSE,Marveld2,MARVEL domain-containing protein 2,20444.7,16700.7,16974.8,15678.5,15061,15637.2,14778.7,16117.9
Q3UZP4,Q3UZP4,SVIP_MOUSE,Svip,Small VCP/p97-interacting protein,38854.9,36341.3,36456.6,34960,36610.1,36481.7,35066.1,39250.1
Q3UZZ6,Q3UZZ6,ST1D1_MOUSE,Sult1d1,Sulfotransferase 1 family member D1,1.94E+06,1.74E+06,1.95E+06,1.99E+06,1.89E+06,2.00E+06,1.90E+06,2.16E+06
Q3V009,Q3V009,TMED1_MOUSE,Tmed1,Transmembrane emp24 domain-containing protein 1,13760.1,21079.1,20872.4,21359.3,23743.8,35228.7,19270.2,24967.5
Q3V080,Q3V080,ZN583_MOUSE,Znf583,Zinc finger protein 583,72433.8,98896.5,82174.2,81455.9,47335.6,61317.9,66525.9,81592.8
Q3V0C5,Q3V0C5,UBP48_MOUSE,Usp48,Ubiquitin carboxyl-terminal hydrolase 48,47774.7,32034.4,43912.1,41420.8,34924.5,35626.3,38077.2,39550.9
Q3V0K9,Q3V0K9,PLSI_MOUSE,Pls1,Plastin-1,31354.9,37026.3,39996.8,31678.7,39160.6,36599.7,39935.4,38568.1
Q3V0K9;Q61233;Q99K51,Q3V0K9;Q61233;Q99K51,PLSI_MOUSE;PLSL_MOUSE;PLST_MOUSE,Lcp1;Pls1;Pls3,Plastin-1,412834,563411,388618,416304,441935,331175,529280,457004
Q3V0K9;Q99K51,Q3V0K9;Q99K51,PLSI_MOUSE;PLST_MOUSE,Pls1;Pls3,Plastin-1,19351.4,17199.6,22106.6,30463.5,34478.3,45439.7,16239.7,33588
Q3V0M2,Q3V0M2,LRC36_MOUSE,Lrrc36,Leucine-rich repeat-containing protein 36,16671.5,,,,,,,28852.4
Q3V1L4,Q3V1L4,5NTC_MOUSE,Nt5c2,Cytosolic purine 5'-nucleotidase,62353.2,54531.2,60663.8,63157.5,71527,75171.6,66145.6,66966.5
Q3V1T4,Q3V1T4,P3H1_MOUSE,P3h1,Prolyl 3-hydroxylase 1,20398.2,20914.4,18337.8,21384.3,20382,14399.7,20189,18212.4
Q3V1V3,Q3V1V3,ESF1_MOUSE,Esf1,ESF1 homolog,13639.8,16583,17218.4,17150.7,18663.6,15961.6,19374,18660.6
Q3V2Q8,Q3V2Q8,N42L1_MOUSE,N4bp2l1,NEDD4-binding protein 2-like 1,15419.4,25793.6,13314.8,16822.7,13168.4,15185,15192.4,17983.6
Q3V384,Q3V384,AFG1L_MOUSE,Afg1l,AFG1-like ATPase,155221,149260,147208,152063,139173,134258,155387,147812
Q3V3Q7,Q3V3Q7,PACS2_MOUSE,Pacs2,Phosphofurin acidic cluster sorting protein 2,30593.7,26217,31516.3,27847.6,29193.3,31888,29990.8,29195.5
Q3V3R1,Q3V3R1,C1TM_MOUSE,Mthfd1l,"Monofunctional C1-tetrahydrofolate synthase, mitochondrial",49674.5,49028.9,50839.6,52788.8,55137.7,49199.7,54936,56174.3
Q3V3R4,Q3V3R4,ITA1_MOUSE,Itga1,Integrin alpha-1,353049,408109,328962,309731,302443,408241,402148,416651
Q3V4B5,Q3V4B5,COMD6_MOUSE,Commd6,COMM domain-containing protein 6,49951.6,48363.3,53836.2,59110.3,50806.8,52615.3,51218.3,59019.2
Q3ZRW6,Q3ZRW6,CLUL1_MOUSE,Clul1,Clusterin-like protein 1,28229.2,10832.3,31455.4,25417.3,35844.9,23110,22358.4,25583.3
Q400C8,Q400C8,AMZ2_MOUSE,Amz2,Archaemetzincin-2,11708.9,17049.4,15296.4,19486,12974.8,11423.5,15836.5,14878.4
Q45VN2,Q45VN2,DFA20_MOUSE,Defa20,Alpha-defensin 20,137148,111764,106451,91727.9,105816,87524.8,122197,89318.4
Q497H0,Q497H0,ZFAN3_MOUSE,Zfand3,AN1-type zinc finger protein 3,31611.1,30464.9,32375.5,39793.4,27888.7,30018.7,38688,34791.8
Q497V5,Q497V5,SRBD1_MOUSE,Srbd1,S1 RNA-binding domain-containing protein 1,72492.8,94514.5,83947.2,75929,93737.5,74547,84492.8,85373.5
Q499M4,Q499M4,TIGD5_MOUSE,Tigd5,Tigger transposable element derived 5,1.05E+06,,1.22E+06,1.16E+06,1.01E+06,861641,1.01E+06,1.39E+06
Q499X9,Q499X9,SYMM_MOUSE,Mars2,"Methionine--tRNA ligase, mitochondrial",27739.2,27577.3,27792.6,30083.9,25227.7,25145.8,28181.5,26015.4
Q4ACU6,Q4ACU6,SHAN3_MOUSE,Shank3,SH3 and multiple ankyrin repeat domains protein 3,45108.6,49243,55561.3,48127.9,54366.1,47282.5,44131.6,53791.9
Q4FK66,Q4FK66,PR38A_MOUSE,Prpf38a,Pre-mRNA-splicing factor 38A,51158.6,46778.2,49429.5,47752.3,44828.5,49733.9,56600.7,54669.8
Q4FZF3,Q4FZF3,DDX49_MOUSE,Ddx49,Probable ATP-dependent RNA helicase DDX49,15754,24075.5,21348.6,,9387.05,25811.7,24906.5,22931.7
Q4G0F8,Q4G0F8,UBN1_MOUSE,Ubn1,Ubinuclein-1,36554.8,41801.4,34657.8,29780.9,32077.4,18602.4,,32073
Q4G5Y1,Q4G5Y1,KLDC2_MOUSE,Klhdc2,Kelch domain-containing protein 2,11292.3,12409,9888.61,10254.1,8817.99,9061.87,8810.19,12111.6
Q4JIM5,Q4JIM5,ABL2_MOUSE,Abl2,Tyrosine-protein kinase ABL2,4491.98,7606.06,7003.59,6271.45,10704.7,8861.62,4700.54,7534.13
Q4KL35,Q4KL35,MAGIX_MOUSE,Magix,PDZ domain-containing protein MAGIX,22804.2,24322.8,23154.7,23622.5,23833.9,27182.8,23290.8,29941.4
Q4KML4,Q4KML4,ABRAL_MOUSE,Abracl,Costars family protein ABRACL,77501.7,76710.9,85713.8,82983.8,85506.9,99778.8,64601.4,92730.8
Q4KMM3,Q4KMM3,OXR1_MOUSE,Oxr1,Oxidation resistance protein 1,102463,90338.1,102330,106948,94573.6,96154.2,99093.4,95250.1
Q4LDD4,Q4LDD4,ARAP1_MOUSE,Arap1,"Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 1",60963.7,60166,61926.9,64277.7,64603.5,62495.6,65917.9,63827.8
Q4LDG0,Q4LDG0,S27A5_MOUSE,Slc27a5,Long-chain fatty acid transport protein 5,1.36E+06,1.29E+06,1.44E+06,1.54E+06,1.52E+06,1.61E+06,1.59E+06,1.78E+06
Q4PJX1,Q4PJX1,ODR4_MOUSE,Odr4,Protein odr-4 homolog,89781.6,83935.8,84675.9,84464.6,105639,83712.8,95231,98351.6
Q4PZA2,Q4PZA2,ECE1_MOUSE,Ece1,Endothelin-converting enzyme 1,296231,288043,310785,322573,283172,317762,339946,335241
Q4QQM4,Q4QQM4,P5I11_MOUSE,Trp53i11,Tumor protein p53-inducible protein 11,51416.7,69392.9,61057.7,63933.9,59053,66860.9,71948.1,65144.3
Q4QRL3,Q4QRL3,CC88B_MOUSE,Ccdc88b,Coiled-coil domain-containing protein 88B,135097,160144,141642,101932,128274,33179.7,126469,183702
Q4U2R1,Q4U2R1,HERC2_MOUSE,Herc2,E3 ubiquitin-protein ligase HERC2,11545.8,8592.26,12246.5,9454.81,15051.7,10914.4,6558.02,13358.2
Q4V9W2,Q4V9W2,SR1IP_MOUSE,Srek1ip1,Protein SREK1IP1,4506.6,2464.05,2145.06,4887.28,4093.38,4560.09,7340.77,4640.79
Q4VA53,Q4VA53,PDS5B_MOUSE,Pds5b,Sister chromatid cohesion protein PDS5 homolog B,97924.2,100227,97718.5,95385,88638.9,89918.3,94011,109104
Q4VA53;Q6A026,Q4VA53;Q6A026,PDS5A_MOUSE;PDS5B_MOUSE,Pds5a;Pds5b,Sister chromatid cohesion protein PDS5 homolog B,31519.7,30953.3,29977.1,37555.8,38254.4,37128.2,34100.4,41253
Q4VAA2,Q4VAA2,CDV3_MOUSE,Cdv3,Protein CDV3,822880,725563,712649,716124,766806,672935,725642,763880
Q4VAA7,Q4VAA7,SNX33_MOUSE,Snx33,Sorting nexin-33,17570.3,5815.74,8922.88,9359.5,9408.03,9098.59,7871.63,11496.3
Q4VAC9,Q4VAC9,PKHG3_MOUSE,Plekhg3,Pleckstrin homology domain-containing family G member 3,17489.9,15446.3,8967.98,16550.9,13567.3,15573.4,12742.7,13135.3
Q4VAE3,Q4VAE3,TMM65_MOUSE,Tmem65,Transmembrane protein 65,12593.5,25879.4,18533.7,24767.7,22769.7,16313,17295.7,22554.3
Q4VBD2,Q4VBD2,TAPT1_MOUSE,Tapt1,Transmembrane anterior posterior transformation protein 1,193230,199684,221171,227684,194636,206320,222379,234990
Q4VBE8,Q4VBE8,WDR18_MOUSE,Wdr18,WD repeat-containing protein 18,24588,24521.8,26335.1,23725.5,23680.2,22858.7,26898.6,26028.2
Q4VC33,Q4VC33,MAEA_MOUSE,Maea,E3 ubiquitin-protein transferase MAEA,71790.5,63816.8,73403.2,60158.4,69174.6,59472.3,64991.3,66681.2
Q4VGL6,Q4VGL6,RC3H1_MOUSE,Rc3h1,Roquin-1,29104.3,32449.5,29185.2,23186.8,33729.3,27537.9,31450.9,22781.8
Q501J2,Q501J2,ANKMT_MOUSE,Antkmt,Adenine nucleotide translocase lysine N-methyltransferase,55982.2,79953,60651.4,64300.2,59745.7,85884.3,61798.5,74192
Q501J6,Q501J6,DDX17_MOUSE,Ddx17,Probable ATP-dependent RNA helicase DDX17,141215,139473,163321,170839,141233,154364,152255,154786
Q501J6;Q61656,Q501J6;Q61656,DDX17_MOUSE;DDX5_MOUSE,Ddx17;Ddx5,Probable ATP-dependent RNA helicase DDX17,603357,584340,681264,587392,584405,592302,612189,583210
Q501J6;Q61656;Q62167,P16381;Q501J6;Q61656;Q62095;Q62167,DDX17_MOUSE;DDX3X_MOUSE;DDX5_MOUSE,Ddx17;Ddx3x;Ddx5,Probable ATP-dependent RNA helicase DDX17,238931,213483,289369,253358,319118,405100,333784,303588
Q501J7,Q501J7,PHAR4_MOUSE,Phactr4,Phosphatase and actin regulator 4,57201.7,56377.7,64120,60976.5,46859.2,59004.6,63382.9,58552
Q504P2,Q504P2,CL12A_MOUSE,Clec12a,C-type lectin domain family 12 member A,71952.4,,65991.5,,,,,
Q505B7,Q505B7,ARCH_MOUSE,Zbtb8os,Protein archease,201673,200535,206595,217527,193386,187383,210005,228051
Q505D1,Q505D1,ANR28_MOUSE,Ankrd28,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A,54109.5,54348.2,56934.2,53406.4,60363,62436.3,58548.9,65496.2
Q505D7,Q505D7,OPA3_MOUSE,Opa3,Optic atrophy 3 protein homolog,415262,414739,416329,426990,394137,323971,391602,392712
Q505F1,Q505F1,NR2C1_MOUSE,Nr2c1,Nuclear receptor subfamily 2 group C member 1,,,,,,2693.2,,1827.51
Q505F5,Q505F5,LRC47_MOUSE,Lrrc47,Leucine-rich repeat-containing protein 47,148571,154600,169963,168875,169825,166942,171945,176966
Q52KI8,Q52KI8,SRRM1_MOUSE,Srrm1,Serine/arginine repetitive matrix protein 1,123676,124903,147185,147744,139398,135116,138728,128033
Q566J8,Q566J8,COQ8B_MOUSE,Coq8b,"Atypical kinase COQ8B, mitochondrial",28923.2,32300.6,39023.6,35428.8,36408,37555.8,40866.9,34274.3
Q569L8,Q569L8,CENPJ_MOUSE,Cenpj,Centromere protein J,11647.6,,8121.01,12494.1,,15343.5,11805.3,13996.6
Q569Z5,Q569Z5,DDX46_MOUSE,Ddx46,Probable ATP-dependent RNA helicase DDX46,171491,158106,174038,172936,173062,159027,168826,172817
Q569Z6,Q569Z6,TR150_MOUSE,Thrap3,Thyroid hormone receptor-associated protein 3,155779,162795,167961,179622,164095,168935,177631,174382
Q56A08,Q56A08,GPKOW_MOUSE,Gpkow,G-patch domain and KOW motifs-containing protein,54750.9,60947.4,60004.8,64059.8,59962,55534.8,60548.2,61227.3
Q570Y9,Q570Y9,DPTOR_MOUSE,Deptor,DEP domain-containing mTOR-interacting protein,259304,259041,267192,256491,286275,263410,274674,297484
Q571B6,Q571B6,WHAMM_MOUSE,Whamm,"WASP homolog-associated protein with actin, membranes and microtubules",8165.97,10819.6,9917.68,9135.97,16365.7,10806.7,13387.5,12274.5
Q571E4,Q571E4,GALNS_MOUSE,Galns,N-acetylgalactosamine-6-sulfatase,38151.7,29531.7,30551.9,34588.3,27169.1,33933.4,37819.4,31865.5
Q571F8,Q571F8,GLSL_MOUSE,Gls2,"Glutaminase liver isoform, mitochondrial",1.35E+06,1.22E+06,1.40E+06,1.42E+06,1.47E+06,1.46E+06,1.38E+06,1.39E+06
Q571G4,Q571G4,LIN54_MOUSE,Lin54,Protein lin-54 homolog,12904.1,9586.47,7848.05,8398.05,7479.78,8883.16,8226.85,9102.5
Q571I9,Q571I9,A16A1_MOUSE,Aldh16a1,Aldehyde dehydrogenase family 16 member A1,1.18E+06,1.05E+06,1.13E+06,1.15E+06,1.04E+06,1.12E+06,1.06E+06,1.09E+06
Q58A65,Q58A65,JIP4_MOUSE,Spag9,C-Jun-amino-terminal kinase-interacting protein 4,217640,203161,215180,215390,214592,193993,208975,202884
Q58A65;Q9ESN9,Q58A65;Q9ESN9,JIP3_MOUSE;JIP4_MOUSE,Mapk8ip3;Spag9,C-Jun-amino-terminal kinase-interacting protein 4,123155,156342,166809,181145,145465,176389,164316,173594
Q58NB6,Q58NB6,DHRS9_MOUSE,Dhrs9,Dehydrogenase/reductase SDR family member 9,,,,27767.8,15450.4,46140.6,27120.1,34291.1
Q59J78,Q59J78,NDUF2_MOUSE,Ndufaf2,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 2,512391,486980,592203,635160,516076,630910,577346,575667
Q5BL07,Q5BL07,PEX1_MOUSE,Pex1,Peroxisomal ATPase PEX1,70429.2,77427.5,76303.8,76524.6,81644.1,71077.6,77248.1,78256.3
Q5BLK4,Q5BLK4,TUT7_MOUSE,Tut7,Terminal uridylyltransferase 7,111293,93580.2,100471,99034,100863,100093,95733.7,101917
Q5DTM8,Q5DTM8,BRE1A_MOUSE,Rnf20,E3 ubiquitin-protein ligase BRE1A,73910.9,60028.1,70940.1,68265.5,66839.1,67851.3,64002.5,65704.6
Q5DTN8,Q5DTN8,JKIP3_MOUSE,Jakmip3,Janus kinase and microtubule-interacting protein 3,702339,736017,819970,822554,649903,845076,829456,728818
Q5DTU0,Q5DTU0,AF1L2_MOUSE,Afap1l2,Actin filament-associated protein 1-like 2,11815.3,10434.2,6783.09,7835.15,6797.89,3733.14,7068.97,7189.19
Q5DU09,Q5DU09,ZN652_MOUSE,Znf652,Zinc finger protein 652,3582.55,5612.85,4762.1,5966.39,7008.85,6867.61,4633.8,7371.77
Q5DU25;Q8R0S2,Q8R0S2;Q5DU25,IQEC1_MOUSE;IQEC2_MOUSE,Iqsec1;Iqsec2,IQ motif and SEC7 domain-containing protein 2,13034.4,11187.2,8628.01,12730.7,,11872.6,8528.76,11403.8
Q5DU37,Q5DU37,ZFY26_MOUSE,Zfyve26,Zinc finger FYVE domain-containing protein 26,18262.8,23719.2,18879.5,27409,30362.2,21238.8,27628.6,23426.2
Q5DW34,Q5DW34,EHMT1_MOUSE,Ehmt1,Histone-lysine N-methyltransferase EHMT1,7463.24,7972.17,9988.54,,7319.76,7402.6,9928.29,11364.4
Q5EBG6,Q5EBG6,HSPB6_MOUSE,Hspb6,Heat shock protein beta-6,16160.4,17151.7,11383.7,12129.6,21135.2,10054.9,12058.2,18856
Q5EBG8,Q5EBG8,CA050_MOUSE,,Uncharacterized protein C1orf50 homolog,177633,180134,205578,214641,216569,212771,186176,215199
Q5EG47,Q5EG47,AAPK1_MOUSE,Prkaa1,5'-AMP-activated protein kinase catalytic subunit alpha-1,133603,112697,104107,133657,121732,104091,97741.4,102143
Q5EG47;Q8BRK8,Q5EG47;Q8BRK8,AAPK1_MOUSE;AAPK2_MOUSE,Prkaa1;Prkaa2,5'-AMP-activated protein kinase catalytic subunit alpha-1,10873.8,20784.2,14057.4,20426.7,20168.6,14532.1,16310.6,17830.1
Q5F285,Q5F285,TM256_MOUSE,Tmem256,Transmembrane protein 256,10781.5,11144.8,21919.7,22630.7,,17703.4,13663.6,
Q5F2E7,Q5F2E7,NUFP2_MOUSE,Nufip2,FMR1-interacting protein NUFIP2,146016,137536,144834,138180,147878,131185,143620,134650
Q5F2E8,Q5F2E8,TAOK1_MOUSE,Taok1,Serine/threonine-protein kinase TAO1,44041.3,48700.3,40821.9,44687.2,54360,36294.2,53002.4,49530.3
Q5F2E8;Q8BYC6,Q5F2E8;Q8BYC6,TAOK1_MOUSE;TAOK3_MOUSE,Taok1;Taok3,Serine/threonine-protein kinase TAO1,134692,137207,139524,140060,120621,133026,128387,134557
Q5F2F2,Q5F2F2,ABH15_MOUSE,Abhd15,Protein ABHD15,50993.1,68185.4,59381.3,55480.6,55507.6,51682.3,68881.5,55501.5
Q5FW57,Q5FW57,GLYAL_MOUSE,Gm4952,Glycine N-acyltransferase-like protein,1.63E+06,1.29E+06,1.63E+06,1.70E+06,1.56E+06,1.79E+06,1.49E+06,1.49E+06
Q5FW57;Q91XE0,Q91XE0;Q5FW57,GLYAL_MOUSE;GLYAT_MOUSE,Glyat;Gm4952,Glycine N-acyltransferase-like protein,755723,717354,818033,939618,649069,1.15E+06,794220,999528
Q5FWI3,Q5FWI3,CEIP2_MOUSE,Cemip2,Cell surface hyaluronidase,43022.4,54110.8,44630.4,41934.7,38804.9,52074.6,50990.7,49456.5
Q5FWK3,Q5FWK3,RHG01_MOUSE,Arhgap1,Rho GTPase-activating protein 1,234727,216548,236762,229796,226768,211807,226257,229695
Q5H8C4,Q5H8C4,VP13A_MOUSE,Vps13a,Intermembrane lipid transfer protein VPS13A,45424.4,53134.3,42274.8,39894.1,36013.4,43718.6,53924.3,45868.6
Q5HZH2,Q5HZH2,TSR3_MOUSE,Tsr3,18S rRNA aminocarboxypropyltransferase,57092.4,,35913.8,40794.9,56538.8,52466.3,47067.6,50868.2
Q5HZI1,Q5HZI1,MTUS1_MOUSE,Mtus1,Microtubule-associated tumor suppressor 1 homolog,196761,181798,216342,210299,199696,195760,202290,196779
Q5HZI9,Q5HZI9,S2551_MOUSE,Slc25a51,Mitochondrial nicotinamide adenine dinucleotide transporter SLC25A51,72303,65191,68403,67169,75351.7,77622.6,79046.1,77493.6
